car_id, route_cluster1
20150103070112-250,9
20150103070124-133,23
20150103100100-923,59
20150103100107-497,72
20150104020118-228,96
20150104030100-971,21
20150104030145-629,29
20150104040106-481,17
20150104050127-736,97
20150104050128-43,88
20150104060101-478,6
20150104090150-765,23
20150104100141-172,14
20150104120123-255,66
20150104120127-678,2
20150105010142-777,36
20150105020100-532,8
20150105040107-528,56
20150105040122-318,98
20150105040131-344,21
20150105040143-572,38
20150105040155-8,99
20150105060134-242,94
20150105060153-959,60
20150105060155-720,14
20150105070153-470,1
20150105080122-729,11
20150105080156-835,3
20150105090139-623,16
20150105120114-572,70
20150106030143-319,36
20150106040105-101,23
20150106080108-146,7
20150106080113-871,11
20150106120154-473,71
20150107030156-44,3
20150107050116-884,37
20150107060117-495,22
20150107070123-611,1
20150107100101-687,21
20150108040111-888,78
20150108040141-642,37
20150108050153-619,16
20150108060104-840,5
20150108060137-927,78
20150108070109-950,3
20150108080154-471,100
20150108090141-220,8
20150108090148-800,101
20150108100110-534,6
20150108100148-571,3
20150108120140-67,5
20150108120150-466,6
20150109020132-169,95
20150109020137-850,99
20150109020146-55,1
20150109040106-69,74
20150109060105-321,8
20150109060133-67,1
20150109070152-346,3
20150109090104-441,69
20150109100114-5,13
20150109120126-683,3
20150110010138-303,24
20150110020117-451,23
20150110030105-67,37
20150110030147-494,1
20150110040142-327,12
20150110050107-785,22
20150110050133-481,20
20150110050137-491,21
20150110060107-684,40
20150110090142-745,84
20150110100128-45,6
20150110120122-92,12
20150111030116-821,48
20150111070138-888,24
20150111080117-6,24
20150111090110-546,25
20150111090154-956,22
20150112010145-445,21
20150112050122-27,75
20150112050156-642,74
20150112060145-428,58
20150112080120-851,102
20150112080156-678,37
20150112090109-791,23
20150112110110-857,36
20150112110147-385,89
20150112120144-135,79
20150113020105-915,65
20150113030155-53,24
20150113030159-936,62
20150113120100-489,11
20150113120141-485,99
20150114010112-608,8
20150114010135-879,94
20150114030106-231,94
20150114060124-678,34
20150114070109-176,13
20150114110103-352,0
20150115010107-702,36
20150115010131-543,47
20150115020146-483,103
20150115030151-677,24
20150115040106-484,12
20150115050115-511,104
20150115060113-519,105
20150115080143-276,106
20150115080147-541,68
20150115090108-931,12
20150115090150-109,61
20150115100135-182,93
20150115110144-566,44
20150115120113-772,12
20150116020159-920,23
20150116050129-415,41
20150116060132-28,1
20150116070109-391,89
20150116100148-276,67
20150116110131-176,23
20150117010157-104,62
20150117050111-877,3
20150117050152-613,6
20150117060105-392,11
20150117070118-157,107
20150117100126-822,6
20150117110134-691,53
20150117120159-447,30
20150118010108-465,1
20150118010148-280,3
20150118040129-468,24
20150118040142-85,2
20150118100127-966,8
20150118110104-393,21
20150118110157-82,98
20150119010140-843,87
20150119050113-178,8
20150119060114-461,12
20150119070106-803,24
20150119070136-139,71
20150119090129-183,67
20150119100120-362,21
20150119100134-582,21
20150120010150-561,20
20150120020159-683,9
20150120070135-951,8
20150120080147-213,56
20150121010129-985,16
20150121010150-667,2
20150121020117-781,5
20150121030143-599,71
20150121040107-161,8
20150121050143-645,2
20150121060147-159,28
20150121070130-958,12
20150121100115-258,1
20150121120122-416,23
20150122020145-884,6
20150122030139-293,22
20150122050120-946,87
20150122050155-696,23
20150122060128-25,54
20150122060131-462,3
20150122060138-185,4
20150122060151-905,1
20150122060153-192,6
20150122090127-897,101
20150122090132-684,13
20150122100136-869,105
20150122100139-218,77
20150122110107-735,67
20150123020103-717,28
20150123030104-225,24
20150123030147-354,21
20150123040133-735,26
20150123040140-843,17
20150123040147-250,6
20150123070109-172,20
20150123100107-508,74
20150123100144-22,25
20150123110109-178,28
20150123120119-117,14
20150124030132-312,2
20150124040121-291,11
20150124040140-271,30
20150124040143-131,1
20150124040148-340,21
20150124050126-399,27
20150124060117-847,21
20150124060130-672,107
20150124080152-145,0
20150124090106-75,73
20150124090120-626,20
20150125040103-831,92
20150125080138-74,66
20150125110117-319,21
20150126050104-378,62
20150126050104-905,108
20150126090104-272,73
20150126090110-87,72
20150126100125-762,67
20150126110156-850,8
20150126120104-294,22
20150127010131-864,9
20150127030109-159,2
20150127030110-863,53
20150127030133-376,85
20150127050102-625,38
20150127090118-293,37
20150127090150-668,6
20150127110109-336,27
20150128020107-210,14
20150128020123-126,3
20150128050153-539,22
20150128070124-874,62
20150128080123-70,33
20150128120128-946,3
20150129040119-274,12
20150129050133-736,23
20150129060102-704,14
20150129070111-412,12
20150129070156-888,25
20150129090159-131,109
20150129120100-835,99
20150130010110-805,14
20150130010144-517,6
20150130020140-998,23
20150130030134-783,54
20150130080133-858,3
20150130120133-197,67
20150131120109-93,41
20150201020251-919,105
20150201030218-279,21
20150201030222-313,12
20150201030223-912,6
20150201030237-485,75
20150201040231-215,46
20150201040237-719,1
20150201060238-845,56
20150201070216-808,110
20150201080212-913,77
20150201080243-358,4
20150202030203-631,33
20150202040220-736,67
20150202100259-885,17
20150202120211-959,37
20150203060210-288,60
20150203060230-10,106
20150203060259-209,77
20150203070211-66,76
20150204010234-9,93
20150204020258-450,70
20150204040257-657,24
20150204070256-521,6
20150204080211-442,74
20150204080227-619,23
20150204100226-134,3
20150204110202-249,76
20150204120203-524,8
20150205010257-226,59
20150205020259-789,89
20150205030232-909,99
20150205030244-387,3
20150205040226-2,97
20150205040249-209,2
20150205040259-818,1
20150205050206-416,22
20150205050211-113,99
20150205050224-69,6
20150205050251-251,45
20150205060243-479,4
20150205070257-697,6
20150205080233-879,12
20150205080250-857,70
20150205080253-978,2
20150205110228-447,4
20150205120211-387,8
20150206010230-163,23
20150206070250-791,7
20150206080209-247,75
20150206080212-82,78
20150206080226-163,5
20150206090205-388,23
20150206090210-251,21
20150206090224-936,8
20150206110209-450,18
20150206110226-989,65
20150207010252-949,6
20150207030221-800,67
20150207040215-112,3
20150207040220-935,3
20150207050247-410,0
20150207050259-178,111
20150207060250-229,14
20150207070201-863,3
20150207070236-872,51
20150207080240-722,28
20150207090207-597,2
20150207100218-368,99
20150207100246-511,6
20150207100251-836,44
20150207110213-868,112
20150207120223-773,106
20150208020258-125,36
20150208050254-21,113
20150208060247-95,108
20150208080245-958,24
20150208100221-140,53
20150208120236-553,21
20150209010259-697,98
20150209030207-239,25
20150209030226-601,23
20150209040222-611,3
20150209040256-114,2
20150209060217-820,39
20150209060231-540,86
20150209060231-719,27
20150209060238-306,46
20150209080253-791,108
20150209090220-14,3
20150210010202-458,14
20150210020219-563,65
20150210060208-458,14
20150210080230-653,3
20150210080252-159,14
20150210090226-728,33
20150210100228-734,105
20150210110251-325,1
20150211020216-596,21
20150211030246-951,55
20150211030247-915,23
20150211060212-247,23
20150211080249-753,38
20150211090217-8,21
20150211090239-980,2
20150211100232-929,21
20150211110249-463,36
20150212010257-58,22
20150212020201-712,22
20150212020230-583,24
20150212030241-721,30
20150212040259-674,72
20150212060245-559,14
20150213010207-861,24
20150213020216-787,94
20150213020242-370,21
20150213050220-905,5
20150213080245-239,83
20150213100239-978,107
20150213100243-108,14
20150213100244-187,44
20150213110259-700,2
20150213120204-866,23
20150213120238-644,8
20150214010242-372,12
20150214020239-72,72
20150214020240-113,47
20150214040259-301,12
20150214050243-579,24
20150214050259-776,41
20150214060215-80,74
20150214060220-382,14
20150214070205-409,62
20150214070227-209,1
20150214070255-757,58
20150214110221-163,23
20150214110230-668,84
20150215040246-830,56
20150215060213-419,6
20150215060225-774,45
20150215070210-159,66
20150215080233-547,3
20150215110234-930,54
20150216020236-229,6
20150216020249-396,22
20150216030218-144,107
20150216050250-845,21
20150216060224-299,8
20150216090217-343,6
20150216120249-701,24
20150217030209-500,103
20150217070227-343,62
20150217080254-664,110
20150217100259-352,11
20150217110211-163,8
20150218020205-444,31
20150218020235-744,49
20150218020245-27,8
20150218030208-54,22
20150218060201-241,90
20150218080215-880,20
20150218080228-384,6
20150218100235-723,8
20150218120204-473,24
20150218120246-220,48
20150219010247-476,22
20150219010259-607,50
20150219040226-843,4
20150219040245-828,8
20150219050239-130,99
20150219060208-152,1
20150219060212-464,2
20150219060243-351,79
20150219060245-412,32
20150219070245-275,14
20150219120223-913,65
20150220020224-864,1
20150220020253-931,94
20150220040211-856,9
20150220050217-238,21
20150220050250-759,21
20150220070230-806,45
20150220070255-321,24
20150220070258-78,94
20150220080208-953,13
20150220090207-4,3
20150220100257-488,56
20150220110204-775,21
20150220120207-682,25
20150221010241-26,11
20150221010248-121,21
20150221020226-361,73
20150221050207-983,2
20150221060206-207,46
20150221080230-251,8
20150221080233-162,77
20150221080255-974,5
20150221090256-672,82
20150222020245-78,57
20150222030253-528,1
20150222040240-339,21
20150222050203-651,21
20150222080201-647,8
20150222120224-908,47
20150222120240-889,1
20150223010214-102,3
20150223010227-152,22
20150223050200-237,44
20150223060208-554,37
20150223080232-126,67
20150223080236-476,94
20150223090243-726,48
20150223100216-408,67
20150223110226-578,11
20150223110259-667,11
20150224010207-397,10
20150224010232-820,2
20150224010242-67,6
20150224040209-825,21
20150224040213-439,2
20150224040251-670,46
20150224060210-730,101
20150224080200-493,14
20150224090221-347,14
20150224100248-221,6
20150225010255-927,1
20150225030241-455,3
20150225050220-518,21
20150225050254-301,22
20150225120206-4,94
20150225120233-156,14
20150226020240-312,6
20150226040200-707,45
20150226050215-572,56
20150226080201-708,76
20150226080250-347,49
20150226090206-282,40
20150226090228-180,48
20150227040216-933,1
20150227050213-13,29
20150227050249-620,6
20150227060225-629,110
20150227070202-589,71
20150227070212-936,73
20150227080211-917,12
20150227100257-879,35
20150227110259-695,2
20150228010235-447,101
20150228020203-565,26
20150228020218-410,23
20150228040218-159,4
20150228040220-734,14
20150228040258-293,8
20150228050229-132,22
20150228060237-734,76
20150228060241-909,12
20150228060253-886,6
20150228060258-280,24
20150228070255-830,23
20150228100230-407,6
20150228100235-385,84
20150228110224-816,9
20150229030257-163,12
20150229040200-535,1
20150229050210-638,39
20150229060250-368,33
20150229070248-397,25
20150229070254-204,20
20150229080229-708,114
20150229100210-587,98
20150229100219-140,8
20150229120212-565,91
20150229120229-56,53
20150230020208-895,1
20150230020229-743,24
20150230040228-217,14
20150230060218-649,6
20150230070206-829,92
20150230070214-548,103
20150230070254-178,3
20150230090247-751,6
20150230100237-163,115
20150230100245-923,0
20150230100247-423,116
20150230110228-138,6
20150230110247-212,101
20150231010230-879,99
20150231010233-845,66
20150231020234-357,23
20150231040206-408,2
20150231040229-915,12
20150231050204-372,82
20150231060233-191,5
20150231120236-701,45
20150301010358-741,3
20150301040348-691,1
20150301040355-981,71
20150301050357-768,81
20150301110359-991,8
20150302010308-139,23
20150302010312-760,94
20150302010318-216,21
20150302060320-142,94
20150302120354-207,9
20150303040325-976,101
20150303080344-262,45
20150303100300-303,23
20150303100335-568,19
20150303100343-74,1
20150303100354-126,75
20150303120312-233,116
20150304020342-804,3
20150304020354-357,86
20150304020357-184,73
20150304050334-811,24
20150304060314-79,28
20150304070342-20,10
20150304080318-31,46
20150304080333-22,47
20150304100320-326,22
20150304120307-360,32
20150304120353-11,6
20150304120355-104,23
20150305030327-986,51
20150305030356-98,55
20150305040318-34,79
20150305040319-117,32
20150305060300-527,39
20150305070304-542,8
20150305090320-516,6
20150305100328-487,32
20150305110318-934,55
20150306010334-471,12
20150306030356-503,41
20150306050305-235,36
20150306070307-320,22
20150306080327-887,37
20150306110354-15,24
20150307010338-210,80
20150307020308-823,64
20150307030320-55,99
20150307040337-388,14
20150307050341-35,66
20150307100357-262,59
20150307120319-340,40
20150308060316-51,6
20150308080350-359,78
20150308090350-385,29
20150308110311-631,6
20150308110346-628,93
20150308110350-292,34
20150309010312-403,8
20150309010348-628,4
20150309030327-506,11
20150309050339-817,22
20150309080352-837,85
20150309100312-290,67
20150309110339-234,12
20150310030349-569,1
20150310040317-804,21
20150310050337-557,79
20150310060307-190,2
20150310080358-131,19
20150310110337-570,106
20150311010308-753,71
20150311020301-173,49
20150311040324-846,31
20150311040359-426,86
20150311070357-437,12
20150311090356-344,70
20150311100310-634,1
20150311110338-47,2
20150312020332-263,60
20150312030310-797,21
20150312030323-538,20
20150312050331-531,15
20150312070334-705,78
20150312070358-756,11
20150312090350-592,32
20150312110353-306,13
20150312110359-70,3
20150313020331-774,6
20150313020340-835,102
20150313050304-212,21
20150313070357-430,1
20150313080324-835,99
20150313090335-839,98
20150313100322-481,6
20150313110328-797,28
20150313120304-778,2
20150314010330-172,6
20150314020358-556,60
20150314050311-620,86
20150314060301-241,4
20150314100300-561,0
20150314110309-545,33
20150315020313-770,21
20150315030313-186,51
20150315030315-306,12
20150315040326-931,109
20150315040339-712,14
20150315040346-314,28
20150315060334-564,24
20150315070341-687,12
20150315070348-862,6
20150315100304-407,6
20150315110302-350,3
20150315110303-677,113
20150316010332-387,1
20150316010333-924,1
20150316030322-873,0
20150316030333-652,75
20150316060340-469,6
20150316090337-647,8
20150316120315-424,42
20150316120339-456,24
20150317010343-76,68
20150317020307-698,76
20150317050321-831,23
20150317050329-424,92
20150317060312-681,58
20150317070356-563,22
20150317100334-180,3
20150317100334-591,8
20150318010358-404,6
20150318020305-433,44
20150318040307-903,11
20150318040329-875,50
20150318040333-385,22
20150318050336-762,8
20150318090327-261,1
20150319020304-688,84
20150319030320-589,73
20150319040353-167,9
20150319060310-586,12
20150319090314-498,30
20150319090350-88,47
20150319100341-343,23
20150319120301-287,63
20150319120359-872,12
20150320010324-914,94
20150320020348-641,42
20150320030336-192,22
20150320030349-572,86
20150320040327-383,65
20150320050325-256,85
20150320110357-989,8
20150320120345-328,3
20150321010307-127,75
20150321010322-471,53
20150321040305-564,8
20150321060348-225,50
20150321080317-281,9
20150321080345-584,65
20150321090310-782,12
20150321100345-935,6
20150321120327-684,21
20150322020344-232,30
20150322060343-331,86
20150322080300-861,-1
20150322080331-384,75
20150322080359-496,51
20150322090352-662,117
20150322100332-892,14
20150322110349-365,46
20150323010316-495,112
20150323020331-139,23
20150323030348-749,25
20150323040301-184,54
20150323050310-883,87
20150323050332-513,31
20150323050354-727,112
20150323060306-955,116
20150323070338-324,6
20150323090352-23,52
20150323120317-848,38
20150324030322-373,22
20150324060332-594,27
20150324080316-784,26
20150325010306-666,87
20150325010321-329,40
20150325010332-715,3
20150325020345-881,60
20150325020355-94,6
20150325030320-992,8
20150325060300-912,78
20150325060313-681,2
20150325090305-573,14
20150325090326-748,6
20150326040316-459,105
20150326050302-149,1
20150326070301-296,2
20150326080304-403,3
20150326090318-883,59
20150326090329-717,55
20150326110308-543,67
20150326110316-836,6
20150326110322-354,7
20150326120302-265,113
20150326120337-794,2
20150327030331-456,78
20150327030347-941,52
20150327050342-760,17
20150327100356-183,39
20150327120333-393,12
20150328040327-867,24
20150328050342-266,23
20150328060313-318,75
20150328060314-923,69
20150328070321-554,10
20150328070334-74,40
20150328070355-178,14
20150328070359-611,101
20150328090306-30,11
20150328090330-172,19
20150329010321-683,74
20150329010340-772,101
20150329020331-802,67
20150329020335-284,51
20150329030344-472,81
20150329030356-86,26
20150329060327-985,8
20150329070326-185,14
20150329080354-90,25
20150329090301-42,14
20150329090321-197,8
20150329090328-682,6
20150329090346-314,12
20150329100312-987,22
20150329110309-665,14
20150329120353-101,23
20150330010358-933,2
20150330040351-563,45
20150330050315-215,71
20150330060312-987,9
20150330070352-212,70
20150330080312-693,1
20150330080320-3,8
20150330090357-596,54
20150330100336-92,8
20150330100344-165,102
20150330100356-309,14
20150330120309-603,2
20150330120358-817,23
20150331030328-660,3
20150331040308-415,3
20150331040348-209,23
20150331070301-665,94
20150331070335-866,55
20150331080305-385,116
20150331090309-424,33
20150401060413-629,6
20150401060447-851,23
20150401070439-330,67
20150401070447-6,14
20150401080435-346,116
20150401110401-786,59
20150401110417-611,84
20150401120409-216,8
20150402050412-14,21
20150402060453-735,12
20150402100411-423,25
20150402120425-392,11
20150403020416-490,13
20150403060423-562,55
20150403070446-252,14
20150403100428-88,24
20150403100431-843,24
20150403120405-547,109
20150403120428-179,105
20150404010414-57,101
20150404030444-324,23
20150404040434-742,88
20150404040455-117,76
20150404050454-793,72
20150404060428-696,21
20150404070434-936,23
20150404090455-709,6
20150404100414-811,22
20150404120407-76,9
20150404120427-5,103
20150405010405-973,13
20150405010407-140,118
20150405010436-416,24
20150405040445-909,77
20150405080425-970,86
20150405090426-651,74
20150405100402-510,104
20150405120404-360,27
20150406010414-133,12
20150406010443-576,1
20150406040417-783,99
20150406060403-384,21
20150406070417-93,6
20150406080422-756,3
20150406100420-954,8
20150406100439-485,70
20150406120417-939,25
20150406120427-726,18
20150406120449-237,44
20150407010435-360,6
20150407010449-292,1
20150407050402-325,91
20150407050404-905,14
20150407080402-311,23
20150407090456-983,18
20150408020442-543,115
20150408040443-205,94
20150408060446-398,1
20150408060458-999,89
20150408080406-657,67
20150408090423-286,103
20150408090432-622,113
20150408120450-64,41
20150409020430-421,6
20150409030409-552,32
20150409040452-282,3
20150409050412-493,11
20150409070446-883,60
20150409090411-319,75
20150409100421-849,60
20150409100452-47,117
20150410030412-386,39
20150410050413-811,58
20150410050429-88,31
20150410060447-348,2
20150410080439-253,4
20150410080447-108,24
20150410110411-548,38
20150411020405-25,17
20150411020420-325,24
20150411030436-801,22
20150411050404-471,69
20150411050432-27,55
20150411070401-185,23
20150411080422-295,6
20150411110416-472,47
20150411110416-875,9
20150411110428-447,6
20150411120416-183,74
20150411120449-453,87
20150412010421-959,111
20150412010432-32,72
20150412020410-578,24
20150412040445-834,12
20150412060407-898,24
20150412060433-809,24
20150412070432-974,22
20150412070442-715,110
20150412090424-439,11
20150412120454-71,32
20150413010441-864,23
20150413010454-578,37
20150413020432-24,29
20150413030425-582,12
20150413050412-329,30
20150413050443-129,107
20150413080423-537,20
20150413100433-129,72
20150413100443-728,36
20150413110402-150,110
20150413120415-597,3
20150414030411-239,0
20150414050436-933,52
20150414060406-461,103
20150414070450-156,6
20150414070459-536,5
20150414110443-27,14
20150414120431-742,38
20150415010456-94,14
20150415020401-312,24
20150415020406-610,98
20150415030438-398,6
20150415030456-512,23
20150415070401-918,25
20150415080437-148,2
20150415080451-47,22
20150415090454-392,68
20150415100416-794,21
20150415110400-588,12
20150415110415-762,94
20150416030444-791,119
20150416040441-902,96
20150416040445-103,51
20150416110405-287,45
20150416110451-163,6
20150417010429-819,24
20150417010430-97,6
20150417020429-813,81
20150417060422-422,6
20150417070431-372,38
20150417100406-907,100
20150417110423-983,8
20150417110455-279,11
20150418010427-449,21
20150418010436-994,21
20150418030419-69,107
20150418040454-388,52
20150418050406-878,47
20150418070414-573,92
20150418080448-539,8
20150418120408-87,0
20150418120456-58,67
20150419010438-909,21
20150419020408-913,8
20150419040419-734,20
20150419050423-187,45
20150419060418-689,42
20150419070416-758,21
20150419070451-672,1
20150419080401-283,8
20150419080402-813,12
20150419080423-232,47
20150419080453-269,81
20150419090434-489,75
20150419110400-987,61
20150419110442-824,31
20150419110458-665,37
20150419120407-235,32
20150419120451-709,22
20150420010418-650,114
20150420010441-514,22
20150420070433-947,17
20150420080400-256,60
20150420090410-374,25
20150420090412-587,8
20150420090434-499,120
20150420100412-238,46
20150420100416-232,38
20150420110453-920,1
20150420110457-500,67
20150420120432-763,60
20150421010447-348,21
20150421010452-980,33
20150421020414-228,12
20150421050436-46,6
20150421060449-866,98
20150421090407-354,37
20150421090419-711,8
20150421110433-330,2
20150422010448-761,32
20150422030453-632,23
20150422040421-938,27
20150422050455-713,14
20150422080420-314,118
20150422120425-418,3
20150423010420-731,116
20150423020418-599,70
20150423040436-953,113
20150423050415-924,52
20150423070439-456,8
20150423120438-44,21
20150424020445-861,119
20150424030442-413,34
20150424080446-635,8
20150424110417-813,21
20150425010441-992,22
20150425010453-132,64
20150425010456-10,1
20150425010459-670,40
20150425040422-897,37
20150425050434-33,120
20150425060412-481,82
20150425060421-321,6
20150425100459-884,14
20150425120425-24,69
20150425120457-276,83
20150426010442-203,59
20150426010444-611,37
20150426070452-144,55
20150426100413-9,4
20150426100437-616,12
20150426110459-600,99
20150426120423-659,39
20150427020405-588,24
20150427020450-544,47
20150427050456-122,82
20150427060448-246,45
20150427070435-716,12
20150427120413-435,73
20150428020445-289,8
20150428030425-959,13
20150428040403-807,58
20150428070409-96,22
20150428080425-76,2
20150428100455-337,8
20150428120447-819,73
20150429010400-59,70
20150429020421-767,23
20150429040409-724,12
20150429040424-153,65
20150429050401-796,47
20150429050432-698,18
20150429060402-397,89
20150429070447-330,6
20150429080442-199,89
20150429080444-356,67
20150429100402-347,59
20150429100422-921,8
20150430020414-999,17
20150430050401-73,3
20150430050447-600,41
20150430060412-984,23
20150430090433-512,103
20150430100459-528,70
20150430110428-833,106
20150430120449-822,38
20150431010443-726,33
20150431030458-145,110
20150431040401-511,12
20150431070451-890,12
20150431080417-292,21
20150431110424-91,22
20150431110433-92,23
20150501010554-108,46
20150501030502-599,48
20150501060550-176,76
20150501070559-328,34
20150501090516-171,94
20150501120503-93,50
20150502040512-565,6
20150502050519-627,2
20150502060559-716,40
20150502090506-446,6
20150502090541-904,8
20150502120505-706,21
20150502120548-840,87
20150502120549-28,60
20150503010544-585,22
20150503020544-302,4
20150503030532-116,0
20150503040507-176,97
20150503040553-197,106
20150503070532-763,94
20150503080511-131,95
20150503080515-72,6
20150503080543-310,44
20150504020535-36,101
20150504060507-474,8
20150504100514-686,14
20150505020522-625,96
20150505040548-438,101
20150505050508-318,6
20150505050511-527,14
20150505050532-899,6
20150505080542-405,11
20150505110546-631,11
20150506020503-809,0
20150506040523-403,111
20150506060512-399,61
20150506070508-105,85
20150506080545-327,25
20150506080548-948,89
20150506090520-357,23
20150506100506-291,14
20150506120555-983,3
20150507030543-185,6
20150507060531-534,97
20150507080506-385,58
20150507110537-529,32
20150507120515-146,14
20150507120531-544,87
20150508020500-623,6
20150508030553-514,74
20150508040515-409,41
20150508050523-569,1
20150508080524-76,115
20150508100507-109,24
20150508110558-558,73
20150509010532-472,2
20150509010550-822,40
20150509020518-337,2
20150509020534-212,23
20150509020558-681,53
20150509030516-354,1
20150509030549-76,17
20150509040535-12,36
20150509050552-677,63
20150509050558-745,14
20150509060504-688,6
20150509080553-391,30
20150509100557-76,1
20150509110512-403,32
20150509110512-433,42
20150509110550-759,35
20150510020549-282,76
20150510020551-789,82
20150510040554-767,103
20150510050547-65,70
20150510070529-448,29
20150510080559-525,24
20150510110532-536,103
20150510120529-445,35
20150511020522-862,1
20150511060536-527,6
20150511080548-765,40
20150511080559-981,23
20150511090509-927,22
20150511100515-278,112
20150511120517-230,23
20150511120521-523,23
20150512030550-212,106
20150512040536-561,22
20150512050526-696,21
20150512110539-725,110
20150513010513-305,72
20150513030530-407,61
20150513040505-528,18
