car_id,sgt_route_cluster_1
20150103040138-632,33
20150103070112-250,11
20150103070124-133,48
20150103100100-923,72
20150103100107-497,85
20150104020118-228,111
20150104030100-971,26
20150104030145-629,38
20150104040106-481,21
20150104050127-736,112
20150104050128-43,113
20150104060101-478,6
20150104090150-765,48
20150104100141-172,16
20150104120123-255,79
20150104120127-678,8
20150105010142-777,45
20150105020100-532,10
20150105040107-528,68
20150105040122-318,114
20150105040131-344,26
20150105040143-572,49
20150105040155-8,115
20150105060134-242,116
20150105060153-959,73
20150105060155-720,16
20150105070153-470,56
20150105080122-729,17
20150105080156-835,69
20150105090139-623,19
20150105120114-572,83
20150106030143-319,45
20150106040105-101,48
20150106080108-146,7
20150106080113-871,13
20150106120154-473,84
20150107030156-44,69
20150107050116-884,47
20150107060117-495,27
20150107070123-611,9
20150107100101-687,26
20150108040111-888,91
20150108040141-642,47
20150108050153-619,19
20150108060104-840,5
20150108060137-927,91
20150108070109-950,69
20150108080154-471,117
20150108090141-220,10
20150108090148-800,118
20150108100110-534,6
20150108100148-571,69
20150108120140-67,5
20150108120150-466,34
20150109020132-169,110
20150109020137-850,115
20150109020146-55,98
20150109040106-69,87
20150109060105-321,10
20150109060133-67,56
20150109070152-346,69
20150109090104-441,82
20150109100114-5,15
20150109120126-683,69
20150110010138-303,36
20150110020117-451,48
20150110030105-67,47
20150110030147-494,9
20150110040142-327,20
20150110050107-785,27
20150110050133-481,25
20150110050137-491,26
20150110060107-684,51
20150110090142-745,97
20150110100128-45,34
20150110120122-92,20
20150111030116-821,60
20150111070138-888,36
20150111080117-6,36
20150111090110-546,30
20150111090154-956,27
20150112010145-445,26
20150112050122-27,88
20150112050156-642,87
20150112060145-428,119
20150112080120-851,120
20150112080156-678,47
20150112090109-791,48
20150112110110-857,45
20150112110147-385,104
20150112120144-135,92
20150113020105-915,78
20150113030155-53,36
20150113030159-936,75
20150113120100-489,121
20150113120141-485,115
20150114010112-608,10
20150114010135-879,109
20150114030106-231,109
20150114060124-678,43
20150114070109-176,15
20150114110103-352,0
20150115010107-702,46
20150115010131-543,59
20150115020146-483,122
20150115030151-677,36
20150115040106-484,20
20150115050115-511,123
20150115060113-519,124
20150115080143-276,125
20150115080147-541,81
20150115090108-931,20
20150115090150-109,74
20150115100135-182,108
20150115110144-566,55
20150115120113-772,20
20150116020159-920,48
20150116050129-415,52
20150116060132-28,9
20150116070109-391,104
20150116100148-276,80
20150116110131-176,48
20150117010157-104,75
20150117050111-877,69
20150117050152-613,34
20150117060105-392,17
20150117070118-157,126
20150117100126-822,6
20150117110134-691,65
20150117120159-447,39
20150118010108-465,9
20150118010148-280,69
20150118040129-468,36
20150118040142-85,8
20150118100127-966,10
20150118110104-393,26
20150118110157-82,114
20150119010140-843,101
20150119050113-178,10
20150119060114-461,20
20150119070106-803,36
20150119070136-139,84
20150119090129-183,80
20150119100120-362,26
20150119100134-582,26
20150120010150-561,25
20150120020159-683,11
20150120070135-951,10
20150120080147-213,68
20150121010129-985,19
20150121010150-667,8
20150121020117-781,5
20150121030143-599,84
20150121040107-161,10
20150121050143-645,8
20150121060147-159,37
20150121070130-958,20
20150121100115-258,98
20150121120122-416,48
20150122020145-884,34
20150122030139-293,27
20150122050120-946,101
20150122050155-696,48
20150122060128-25,66
20150122060131-462,69
20150122060138-185,4
20150122060151-905,9
20150122060153-192,34
20150122090127-897,118
20150122090132-684,15
20150122100136-869,124
20150122100139-218,90
20150122110107-735,80
20150123020103-717,37
20150123030104-225,36
20150123030147-354,26
20150123040133-735,32
20150123040140-843,21
20150123040147-250,34
20150123070109-172,25
20150123100107-508,87
20150123100144-22,30
20150123110109-178,37
20150123120119-117,16
20150124030132-312,8
20150124040121-291,17
20150124040140-271,39
20150124040143-131,9
20150124040148-340,127
20150124050126-399,33
20150124060117-847,26
20150124060130-672,126
20150124080152-145,0
20150124090106-75,86
20150124090120-626,25
20150125040103-831,107
20150125080138-74,79
20150125110117-319,127
20150126050104-378,75
20150126050104-905,128
20150126090104-272,86
20150126090110-87,85
20150126100125-762,80
20150126110156-850,10
20150126120104-294,27
20150127010131-864,11
20150127030109-159,8
20150127030110-863,65
20150127030133-376,99
20150127050102-625,49
20150127090118-293,47
20150127090150-668,34
20150127110109-336,33
20150128020107-210,16
20150128020123-126,69
20150128050153-539,27
20150128070124-874,75
20150128080123-70,42
20150128120128-946,69
20150129040119-274,20
20150129050133-736,48
20150129060102-704,16
20150129070111-412,20
20150129070156-888,30
20150129090159-131,129
20150129120100-835,115
20150130010110-805,16
20150130010144-517,34
20150130020140-998,48
20150130030134-783,66
20150130080133-858,69
20150130120133-197,80
20150131120109-93,52
20150201020251-919,124
20150201030218-279,127
20150201030222-313,20
20150201030223-912,34
20150201030237-485,88
20150201040231-215,58
20150201040237-719,9
20150201060238-845,68
20150201070216-808,130
20150201080212-913,90
20150201080243-358,4
20150202030203-631,42
20150202040220-736,80
20150202100259-885,21
20150202120211-959,47
20150203060210-288,73
20150203060230-10,125
20150203060259-209,90
20150203070211-66,89
20150204010234-9,108
20150204020258-450,83
20150204040257-657,36
20150204070256-521,34
20150204080211-442,87
20150204080227-619,48
20150204100226-134,-1
20150204110202-249,89
20150204120203-524,10
20150205010257-226,72
20150205020259-789,104
20150205030232-909,115
20150205030244-387,69
20150205040226-2,112
20150205040249-209,8
20150205040259-818,9
20150205050206-416,27
20150205050211-113,115
20150205050224-69,34
20150205050251-251,57
20150205060243-479,4
20150205070257-697,6
20150205080233-879,20
20150205080250-857,83
20150205080253-978,8
20150205110228-447,4
20150205120211-387,10
20150206010230-163,48
20150206070250-791,7
20150206080209-247,88
20150206080212-82,91
20150206080226-163,5
20150206090205-388,48
20150206090210-251,26
20150206090224-936,10
20150206110209-450,22
20150206110226-989,78
20150207010252-949,34
20150207030221-800,80
20150207040215-112,69
20150207040220-935,69
20150207050247-410,0
20150207050259-178,131
20150207060250-229,16
20150207070201-863,69
20150207070236-872,63
20150207080240-722,37
20150207090207-597,8
20150207100218-368,115
20150207100246-511,6
20150207100251-836,55
20150207110213-868,132
20150207120223-773,125
20150208020258-125,46
20150208050254-21,133
20150208060247-95,128
20150208080245-958,36
20150208100221-140,65
20150208120236-553,26
20150209010259-697,114
20150209030207-239,30
20150209030226-601,48
20150209040222-611,69
20150209040256-114,8
20150209060217-820,50
20150209060231-540,100
20150209060231-719,33
20150209060238-306,58
20150209080253-791,128
20150209090220-14,69
20150210010202-458,16
20150210020219-563,78
20150210060208-458,16
20150210080230-653,69
20150210080252-159,16
20150210090226-728,42
20150210100228-734,124
20150210110251-325,9
20150211020216-596,26
20150211030246-951,67
20150211030247-915,48
20150211060212-247,48
20150211080249-753,49
20150211090217-8,26
20150211090239-980,8
20150211100232-929,26
20150211110249-463,45
20150212010257-58,27
20150212020201-712,27
20150212020230-583,36
20150212030241-721,39
20150212040259-674,85
20150212060245-559,16
20150213010207-861,36
20150213020216-787,134
20150213020242-370,26
20150213050220-905,5
20150213080245-239,96
20150213100239-978,126
20150213100243-108,16
20150213100244-187,55
20150213110259-700,8
20150213120204-866,48
20150213120238-644,10
20150214010242-372,20
20150214020239-72,85
20150214020240-113,59
20150214040259-301,20
20150214050243-579,36
20150214050259-776,52
20150214060215-80,87
20150214060220-382,16
20150214070205-409,75
20150214070227-209,9
20150214070255-757,119
20150214110221-163,48
20150214110230-668,97
20150215040246-830,68
20150215060213-419,6
20150215060225-774,57
20150215070210-159,79
20150215080233-547,69
20150215110234-930,66
20150216020236-229,34
20150216020249-396,27
20150216030218-144,126
20150216050250-845,26
20150216060224-299,10
20150216090217-343,34
20150216120249-701,36
20150217030209-500,122
20150217070227-343,75
20150217080254-664,130
20150217100259-352,13
20150217110211-163,10
20150218020205-444,40
20150218020235-744,61
20150218020245-27,10
20150218030208-54,27
20150218060201-241,105
20150218080215-880,25
20150218080228-384,34
20150218100235-723,10
20150218120204-473,36
20150218120246-220,60
20150219010247-476,27
20150219010259-607,62
20150219040226-843,4
20150219040245-828,10
20150219050239-130,115
20150219060208-152,9
20150219060212-464,8
20150219060243-351,92
20150219060245-412,41
20150219070245-275,16
20150219120223-913,78
20150220020224-864,9
20150220020253-931,116
20150220040211-856,11
20150220050217-238,26
20150220050250-759,26
20150220070230-806,57
20150220070255-321,36
20150220070258-78,109
20150220080208-953,15
20150220090207-4,69
20150220100257-488,68
20150220110204-775,26
20150220120207-682,30
20150221010241-26,17
20150221010248-121,26
20150221020226-361,86
20150221050207-983,8
20150221060206-207,58
20150221080230-251,10
20150221080233-162,90
20150221080255-974,5
20150221090256-672,95
20150222020245-78,70
20150222030253-528,9
20150222040240-339,26
20150222050203-651,26
20150222080201-647,10
20150222120224-908,59
20150222120240-889,9
20150223010214-102,69
20150223010227-152,27
20150223050200-237,55
20150223060208-554,47
20150223080232-126,80
20150223080236-476,109
20150223090243-726,60
20150223100216-408,80
20150223110226-578,17
20150223110259-667,13
20150224010207-397,12
20150224010232-820,8
20150224010242-67,6
20150224040209-825,26
20150224040213-439,8
20150224040251-670,58
20150224060210-730,118
20150224080200-493,16
20150224090221-347,16
20150224100248-221,6
20150225010255-927,9
20150225030241-455,69
20150225050220-518,26
20150225050254-301,27
20150225120206-4,109
20150225120233-156,16
20150226020240-312,34
20150226040200-707,57
20150226050215-572,68
20150226080201-708,89
20150226080250-347,61
20150226090206-282,51
20150226090228-180,60
20150227040216-933,9
20150227050213-13,38
20150227050249-620,34
20150227060225-629,130
20150227070202-589,84
20150227070212-936,86
20150227080211-917,20
20150227100257-879,44
20150227110259-695,8
20150228010235-447,118
20150228020203-565,32
20150228020218-410,48
20150228040218-159,4
20150228040220-734,16
20150228040258-293,10
20150228050229-132,27
20150228060237-734,89
20150228060241-909,20
20150228060253-886,34
20150228060258-280,36
20150228070255-830,48
20150228100230-407,34
20150228100235-385,97
20150228110224-816,11
20150229030257-163,20
20150229040200-535,9
20150229050210-638,50
20150229060250-368,42
20150229070248-397,30
20150229070254-204,25
20150229080229-708,135
20150229100210-587,114
20150229100219-140,10
20150229120212-565,106
20150229120229-56,65
20150230020208-895,9
20150230020229-743,36
20150230040228-217,16
20150230060218-649,34
20150230070206-829,107
20150230070214-548,122
20150230070254-178,69
20150230090247-751,34
20150230100237-163,136
20150230100245-923,0
20150230100247-423,137
20150230110228-138,34
20150230110247-212,118
20150231010230-879,115
20150231010233-845,79
20150231020234-357,48
20150231040206-408,8
20150231040229-915,20
20150231050204-372,95
20150231060233-191,5
20150231120236-701,57
20150301010358-741,69
20150301040348-691,9
20150301040355-981,84
20150301050357-768,94
20150301110359-991,10
20150302010308-139,48
20150302010312-760,109
20150302010318-216,26
20150302060320-142,116
20150302120354-207,11
20150303040325-976,118
20150303080344-262,57
20150303100300-303,48
20150303100335-568,24
20150303100343-74,9
20150303100354-126,88
20150303120312-233,137
20150304020342-804,69
20150304020354-357,100
20150304020357-184,86
20150304050334-811,36
20150304060314-79,37
20150304070342-20,12
20150304080318-31,58
20150304080333-22,59
20150304100320-326,27
20150304120307-360,41
20150304120353-11,34
20150304120355-104,48
20150305030327-986,63
20150305030356-98,67
20150305040318-34,92
20150305040319-117,41
20150305060300-527,50
20150305070304-542,10
20150305090320-516,6
20150305100328-487,41
20150305110318-934,67
20150306010334-471,20
20150306030356-503,52
20150306050305-235,46
20150306070307-320,27
20150306080327-887,47
20150306110354-15,36
20150307010338-210,93
20150307020308-823,77
20150307030320-55,115
20150307040337-388,16
20150307050341-35,79
20150307100357-262,72
20150307120319-340,51
20150308060316-51,34
20150308080350-359,91
20150308090350-385,38
20150308110311-631,34
20150308110346-628,108
20150308110350-292,43
20150309010312-403,10
20150309010348-628,4
20150309030327-506,-1
20150309050339-817,27
20150309080352-837,99
20150309100312-290,80
20150309110339-234,20
20150310030349-569,9
20150310040317-804,26
20150310050337-557,92
20150310060307-190,8
20150310080358-131,24
20150310110337-570,125
20150311010308-753,84
20150311020301-173,61
20150311040324-846,40
20150311040359-426,100
20150311070357-437,20
20150311090356-344,83
20150311100310-634,9
20150311110338-47,8
20150312020332-263,73
20150312030310-797,26
20150312030323-538,25
20150312050331-531,18
20150312070334-705,91
20150312070358-756,13
20150312090350-592,41
20150312110353-306,15
20150312110359-70,69
20150313020331-774,34
20150313020340-835,120
20150313050304-212,26
20150313070357-430,98
20150313080324-835,115
20150313090335-839,114
20150313100322-481,34
20150313110328-797,37
20150313120304-778,8
20150314010330-172,34
20150314020358-556,73
20150314050311-620,100
20150314060301-241,4
20150314100300-561,0
20150314110309-545,42
20150315020313-770,26
20150315030313-186,63
20150315030315-306,20
20150315040326-931,129
20150315040339-712,16
20150315040346-314,37
20150315060334-564,36
20150315070341-687,20
20150315070348-862,34
20150315100304-407,34
20150315110302-350,69
20150315110303-677,133
20150316010332-387,56
20150316010333-924,9
20150316030322-873,0
20150316030333-652,88
20150316060340-469,6
20150316090337-647,10
20150316120315-424,53
20150316120339-456,138
20150317010343-76,81
20150317020307-698,89
20150317050321-831,48
20150317050329-424,107
20150317060312-681,71
20150317070356-563,27
20150317100334-180,69
20150317100334-591,10
20150318010358-404,34
20150318020305-433,55
20150318040307-903,121
20150318040329-875,62
20150318040333-385,27
20150318050336-762,10
20150318090327-261,9
20150319020304-688,97
20150319030320-589,86
20150319040353-167,11
20150319060310-586,20
20150319090314-498,39
20150319090350-88,59
20150319100341-343,48
20150319120301-287,76
20150319120359-872,20
20150320010324-914,109
20150320020348-641,53
20150320030336-192,27
20150320030349-572,100
20150320040327-383,78
20150320050325-256,99
20150320110357-989,10
20150320120345-328,69
20150321010307-127,88
20150321010322-471,65
20150321040305-564,10
20150321060348-225,62
20150321080317-281,11
20150321080345-584,78
20150321090310-782,20
20150321100345-935,34
20150321120327-684,139
20150322020344-232,39
20150322060343-331,100
20150322080300-861,-1
20150322080331-384,88
20150322080359-496,63
20150322090352-662,140
20150322100332-892,141
20150322110349-365,58
20150323010316-495,132
20150323020331-139,48
20150323030348-749,30
20150323040301-184,66
20150323050310-883,101
20150323050332-513,40
20150323050354-727,132
20150323060306-955,137
20150323070338-324,34
20150323090352-23,64
20150323120317-848,49
20150324030322-373,27
20150324060332-594,33
20150324080316-784,32
20150325010306-666,101
20150325010321-329,51
20150325010332-715,69
20150325020345-881,73
20150325020355-94,34
20150325030320-992,31
20150325060300-912,91
20150325060313-681,8
20150325090305-573,16
20150325090326-748,34
20150326040316-459,124
20150326050302-149,1
20150326070301-296,8
20150326080304-403,69
20150326090318-883,72
20150326090329-717,67
20150326110308-543,80
20150326110316-836,34
20150326110322-354,7
20150326120302-265,133
20150326120337-794,8
20150327030331-456,91
20150327030347-941,64
20150327050342-760,21
20150327100356-183,50
20150327120333-393,20
20150328040327-867,36
20150328050342-266,48
20150328060313-318,88
20150328060314-923,82
20150328070321-554,12
20150328070334-74,51
20150328070355-178,16
20150328070359-611,118
20150328090306-30,17
20150328090330-172,24
20150329010321-683,87
20150329010340-772,118
20150329020331-802,80
20150329020335-284,63
20150329030344-472,94
20150329030356-86,32
20150329060327-985,10
20150329070326-185,16
20150329080354-90,30
20150329090301-42,16
20150329090321-197,10
20150329090328-682,34
20150329090346-314,20
20150329100312-987,27
20150329110309-665,16
20150329120353-101,48
20150330010358-933,8
20150330040351-563,57
20150330050315-215,84
20150330060312-987,11
20150330070352-212,83
20150330080312-693,9
20150330080320-3,10
20150330090357-596,66
20150330100336-92,10
20150330100344-165,120
20150330100356-309,16
20150330120309-603,8
20150330120358-817,48
20150331030328-660,69
20150331040308-415,69
20150331040348-209,48
20150331070301-665,142
20150331070335-866,67
20150331080305-385,137
20150331090309-424,42
20150401060413-629,34
20150401060447-851,48
20150401070439-330,80
20150401070447-6,16
20150401080435-346,137
20150401110401-786,72
20150401110417-611,97
20150401120409-216,10
20150402050412-14,26
20150402060453-735,20
20150402100411-423,30
20150402120425-392,13
20150403020416-490,15
20150403060423-562,67
20150403070446-252,16
20150403100428-88,36
20150403100431-843,36
20150403120405-547,129
20150403120428-179,124
20150404010414-57,118
20150404030444-324,48
20150404040434-742,103
20150404040455-117,89
20150404050454-793,85
20150404060428-696,26
20150404070434-936,48
20150404090455-709,34
20150404100414-811,27
20150404120407-76,11
20150404120427-5,122
20150405010405-973,15
20150405010407-140,143
20150405010436-416,36
20150405040445-909,90
20150405080425-970,100
20150405090426-651,87
20150405100402-510,123
20150405120404-360,33
20150406010414-133,144
20150406010443-576,98
20150406040417-783,115
20150406060403-384,26
20150406070417-93,34
20150406080422-756,145
20150406100420-954,10
20150406100439-485,83
20150406120417-939,30
20150406120427-726,22
20150406120449-237,55
20150407010435-360,34
20150407010449-292,146
20150407050402-325,106
20150407050404-905,16
20150407080402-311,48
20150407090456-983,22
20150408020442-543,136
20150408040443-205,109
20150408060446-398,1
20150408060458-999,104
20150408080406-657,80
20150408090423-286,122
20150408090432-622,133
20150408120450-64,52
20150409020430-421,34
20150409030409-552,41
20150409040452-282,69
20150409050412-493,13
20150409070446-883,73
20150409090411-319,88
20150409100421-849,73
20150409100452-47,140
20150410030412-386,50
20150410050413-811,71
20150410050429-88,40
20150410060447-348,8
20150410080439-253,4
20150410080447-108,36
20150410110411-548,49
20150411020405-25,21
20150411020420-325,36
20150411030436-801,27
20150411050404-471,82
20150411050432-27,67
20150411070401-185,147
20150411080422-295,34
20150411110416-472,59
20150411110416-875,11
20150411110428-447,6
20150411120416-183,87
20150411120449-453,101
20150412010421-959,131
20150412010432-32,85
20150412020410-578,36
20150412040445-834,20
20150412060407-898,36
20150412060433-809,36
20150412070432-974,27
20150412070442-715,130
20150412090424-439,13
20150412120454-71,41
20150413010441-864,147
20150413010454-578,47
20150413020432-24,38
20150413030425-582,20
20150413050412-329,39
20150413050443-129,126
20150413080423-537,25
20150413100433-129,85
20150413100443-728,45
20150413110402-150,130
20150413120415-597,145
20150414030411-239,0
20150414050436-933,64
20150414060406-461,122
20150414070450-156,34
20150414070459-536,5
20150414110443-27,16
20150414120431-742,49
20150415010456-94,16
20150415020401-312,36
20150415020406-610,114
20150415030438-398,34
20150415030456-512,147
20150415070401-918,30
20150415080437-148,8
20150415080451-47,27
20150415090454-392,81
20150415100416-794,26
20150415110400-588,20
20150415110415-762,109
20150416030444-791,148
20150416040441-902,111
20150416040445-103,63
20150416110405-287,57
20150416110451-163,34
20150417010429-819,36
20150417010430-97,6
20150417020429-813,94
20150417060422-422,6
20150417070431-372,49
20150417100406-907,117
20150417110423-983,10
20150417110455-279,13
20150418010427-449,26
20150418010436-994,26
20150418030419-69,126
20150418040454-388,64
20150418050406-878,59
20150418070414-573,107
20150418080448-539,10
20150418120408-87,0
20150418120456-58,80
20150419010438-909,35
20150419020408-913,10
20150419040419-734,25
20150419050423-187,57
20150419060418-689,53
20150419070416-758,26
20150419070451-672,9
20150419080401-283,10
20150419080402-813,20
20150419080423-232,59
20150419080453-269,94
20150419090434-489,88
20150419110400-987,74
20150419110442-824,40
20150419110458-665,47
20150419120407-235,41
20150419120451-709,27
20150420010418-650,135
20150420010441-514,27
20150420070433-947,21
20150420080400-256,73
20150420090410-374,30
20150420090412-587,10
20150420090434-499,149
20150420100412-238,58
20150420100416-232,49
20150420110453-920,9
20150420110457-500,80
20150420120432-763,73
20150421010447-348,150
20150421010452-980,42
20150421020414-228,20
20150421050436-46,34
20150421060449-866,114
20150421090407-354,47
20150421090419-711,10
20150421110433-330,8
20150422010448-761,41
20150422030453-632,48
20150422040421-938,33
20150422050455-713,16
20150422080420-314,143
20150422120425-418,69
20150423010420-731,137
20150423020418-599,83
20150423040436-953,133
20150423050415-924,64
20150423070439-456,10
20150423120438-44,26
20150424020445-861,148
20150424030442-413,43
20150424080446-635,10
20150424110417-813,26
20150425010441-992,27
20150425010453-132,77
20150425010456-10,1
20150425010459-670,51
20150425040422-897,47
20150425050434-33,149
20150425060412-481,95
20150425060421-321,34
20150425100459-884,16
20150425120425-24,82
20150425120457-276,96
20150426010442-203,72
20150426010444-611,47
20150426070452-144,67
20150426100413-9,4
20150426100437-616,20
20150426110459-600,115
20150426120423-659,50
20150427020405-588,36
20150427020450-544,59
20150427050456-122,95
20150427060448-246,57
20150427070435-716,20
20150427120413-435,86
20150428020445-289,10
20150428030425-959,15
20150428040403-807,71
20150428070409-96,27
20150428080425-76,8
20150428100455-337,10
20150428120447-819,86
20150429010400-59,83
20150429020421-767,48
20150429040409-724,20
20150429040424-153,78
20150429050401-796,59
20150429050432-698,22
20150429060402-397,104
20150429070447-330,34
20150429080442-199,104
20150429080444-356,80
20150429100402-347,72
20150429100422-921,10
20150430020414-999,21
20150430050401-73,69
20150430050447-600,52
20150430060412-984,48
20150430090433-512,122
20150430100459-528,83
20150430110428-833,125
20150430120449-822,49
20150431010443-726,42
20150431030458-145,130
20150431040401-511,20
20150431070451-890,20
20150431080417-292,26
20150431110424-91,27
20150431110433-92,48
20150501010554-108,58
20150501030502-599,60
20150501060550-176,89
20150501070559-328,43
20150501090516-171,109
20150501120503-93,62
20150502040512-565,34
20150502050519-627,8
20150502060559-716,51
20150502090506-446,6
20150502090541-904,10
20150502120505-706,26
20150502120548-840,101
20150502120549-28,73
20150503010544-585,27
20150503020544-302,4
20150503030532-116,0
20150503040507-176,112
20150503040553-197,125
20150503070532-763,142
20150503080511-131,110
20150503080515-72,34
20150503080543-310,55
20150504020535-36,118
20150504060507-474,10
20150504100514-686,16
20150505020522-625,111
20150505040548-438,118
20150505050508-318,34
20150505050511-527,16
20150505050532-899,34
20150505080542-405,13
20150505110546-631,13
20150506020503-809,0
20150506040523-403,131
20150506060512-399,74
20150506070508-105,99
20150506080545-327,30
20150506080548-948,104
20150506090520-357,48
20150506100506-291,16
20150506120555-983,69
20150507030543-185,34
20150507060531-534,112
20150507080506-385,71
20150507110537-529,41
20150507120515-146,16
20150507120531-544,101
20150508020500-623,34
20150508030553-514,87
20150508040515-409,52
20150508050523-569,1
20150508080524-76,136
20150508100507-109,36
20150508110558-558,86
20150509010532-472,8
20150509010550-822,51
20150509020518-337,8
20150509020534-212,48
20150509020558-681,65
20150509030516-354,9
20150509030549-76,21
20150509040535-12,46
20150509050552-677,76
20150509050558-745,16
20150509060504-688,34
20150509080553-391,39
20150509100557-76,9
20150509110512-403,41
20150509110512-433,53
20150509110550-759,44
20150510020549-282,89
20150510020551-789,95
20150510040554-767,122
20150510050547-65,83
20150510070529-448,38
20150510080559-525,36
20150510110532-536,122
20150510120529-445,44
20150511020522-862,9
20150511060536-527,34
20150511080548-765,51
20150511080559-981,48
20150511090509-927,27
20150511100515-278,132
20150511120517-230,48
20150511120521-523,48
20150512030550-212,125
20150512040536-561,27
20150512050526-696,26
20150512110539-725,130
20150513010513-305,85
20150513030530-407,74
