car_id,route_type_csv
20150025040004-379,camper
20150025070013-240,transit
20150025100027-993,transit
20150025100041-260,camper
20150026020037-148,transit
20150026060010-577,transit
20150026070015-698,camper
20150026110014-327,camper
20150026110019-851,none
20150026120010-942,camper
20150026120014-798,transit
20150027070016-18,ranger
20150027080052-161,camper
20150027100028-509,camper
20150027100030-310,camper
20150027100037-189,camper
20150027110055-293,transit
20150027120012-20,camper
20150028030041-325,camper
20150028030051-590,camper
20150028040010-50,camper
20150028050007-273,camper
20150028060003-741,camper
20150028060011-953,none
20150028060051-703,ranger
20150028100038-378,ranger
20150028120058-137,transit
20150029020040-164,camper
20150029030057-969,camper
20150029080012-457,camper
20150029090022-198,none
20150029110001-754,transit
20150030030022-184,transit
20150030050037-993,camper
20150030050049-156,camper
20150030060046-176,camper
20150030070026-128,camper
20150030080014-34,none
20150030090034-886,ranger
20150030090047-958,transit
20150030100046-714,camper
20150030120002-677,camper
20150030120023-694,none
20150031010000-784,transit
20150031030030-236,camper
20150031040021-961,none
20150031050048-776,none
20150031060051-429,camper
20150031070053-947,camper
20150031100003-289,transit
20150101010137-533,transit
20150101020154-96,transit
20150101030146-497,transit
20150101040141-397,transit
20150101050138-171,transit
20150101060136-731,transit
20150101110137-214,none
20150102010156-22,transit
20150102020155-899,camper
20150102080136-341,none
20150102080153-960,camper
20150102100120-757,camper
20150102120122-682,transit
20150102120151-257,camper
20150103020130-343,camper
20150103030112-131,none
20150103040138-632,camper
20150103070112-250,camper
20150103070124-133,transit
20150103100100-923,camper
20150103100107-497,camper
20150104020118-228,transit
20150104030100-971,transit
20150104030145-629,none
20150104040106-481,camper
20150104050127-736,camper
20150104050128-43,camper
20150104060101-478,camper
20150104090150-765,transit
20150104100141-172,transit
20150104120123-255,camper
20150104120127-678,transit
20150105010142-777,camper
20150105020100-532,transit
20150105040107-528,camper
20150105040122-318,none
20150105040131-344,transit
20150105040143-572,none
20150105040155-8,camper
20150105060134-242,camper
20150105060153-959,none
20150105060155-720,transit
20150105070153-470,camper
20150105080122-729,camper
20150105080156-835,transit
20150105090139-623,camper
20150105120114-572,camper
20150106030143-319,camper
20150106040105-101,transit
20150106080108-146,none
20150106080113-871,camper
20150106120154-473,camper
20150107030156-44,transit
20150107050116-884,camper
20150107060117-495,transit
20150107070123-611,ranger
20150107100101-687,transit
20150108040111-888,camper
20150108040141-642,camper
20150108050153-619,camper
20150108060104-840,camper
20150108060137-927,camper
20150108070109-950,transit
20150108080154-471,camper
20150108090141-220,transit
20150108090148-800,none
20150108100110-534,camper
20150108100148-571,transit
20150108120140-67,camper
20150108120150-466,transit
20150109020132-169,none
20150109020137-850,camper
20150109020146-55,ranger
20150109040106-69,camper
20150109060105-321,transit
20150109060133-67,camper
20150109070152-346,transit
20150109090104-441,none
20150109100114-5,camper
20150109120126-683,transit
20150110010138-303,transit
20150110020117-451,transit
20150110030105-67,camper
20150110030147-494,ranger
20150110040142-327,transit
20150110050107-785,transit
20150110050133-481,none
20150110050137-491,transit
20150110060107-684,camper
20150110090142-745,camper
20150110100128-45,transit
20150110120122-92,transit
20150111030116-821,camper
20150111070138-888,transit
20150111080117-6,transit
20150111090110-546,camper
20150111090154-956,transit
20150112010145-445,transit
20150112050122-27,camper
20150112050156-642,camper
20150112060145-428,camper
20150112080120-851,camper
20150112080156-678,camper
20150112090109-791,transit
20150112110110-857,camper
20150112110147-385,camper
20150112120144-135,none
20150113020105-915,camper
20150113030155-53,transit
20150113030159-936,camper
20150113120100-489,none
20150113120141-485,camper
20150114010112-608,transit
20150114010135-879,camper
20150114030106-231,camper
20150114060124-678,none
20150114070109-176,camper
20150114110103-352,none
20150115010107-702,camper
20150115010131-543,camper
20150115020146-483,camper
20150115030151-677,transit
20150115040106-484,transit
20150115050115-511,camper
20150115060113-519,camper
20150115080143-276,camper
20150115080147-541,camper
20150115090108-931,transit
20150115090150-109,camper
20150115100135-182,camper
20150115110144-566,camper
20150115120113-772,transit
20150116020159-920,transit
20150116050129-415,camper
20150116060132-28,ranger
20150116070109-391,camper
20150116100148-276,camper
20150116110131-176,transit
20150117010157-104,camper
20150117050111-877,transit
20150117050152-613,transit
20150117060105-392,camper
20150117070118-157,camper
20150117100126-822,camper
20150117110134-691,none
20150117120159-447,none
20150118010108-465,ranger
20150118010148-280,transit
20150118040129-468,transit
20150118040142-85,transit
20150118100127-966,transit
20150118110104-393,transit
20150118110157-82,camper
20150119010140-843,camper
20150119050113-178,transit
20150119060114-461,transit
20150119070106-803,transit
20150119070136-139,none
20150119090129-183,camper
20150119100120-362,transit
20150119100134-582,transit
20150120010150-561,none
20150120020159-683,camper
20150120070135-951,transit
20150120080147-213,none
20150121010129-985,none
20150121010150-667,transit
20150121020117-781,camper
20150121030143-599,camper
20150121040107-161,transit
20150121050143-645,transit
20150121060147-159,camper
20150121070130-958,transit
20150121100115-258,ranger
20150121120122-416,transit
20150122020145-884,transit
20150122030139-293,transit
20150122050120-946,camper
20150122050155-696,transit
20150122060128-25,camper
20150122060131-462,transit
20150122060138-185,camper
20150122060151-905,ranger
20150122060153-192,transit
20150122090127-897,camper
20150122090132-684,camper
20150122100136-869,camper
20150122100139-218,camper
20150122110107-735,camper
20150123020103-717,camper
20150123030104-225,transit
20150123030147-354,transit
20150123040133-735,none
20150123040140-843,camper
20150123040147-250,transit
20150123070109-172,camper
20150123100107-508,camper
20150123100144-22,none
20150123110109-178,none
20150123120119-117,transit
20150124030132-312,transit
20150124040121-291,camper
20150124040140-271,none
20150124040143-131,ranger
20150124040148-340,none
20150124050126-399,camper
20150124060117-847,transit
20150124060130-672,none
20150124080152-145,camper
20150124090106-75,camper
20150124090120-626,none
20150125040103-831,none
20150125080138-74,camper
20150125110117-319,none
20150126050104-378,camper
20150126050104-905,camper
20150126090104-272,none
20150126090110-87,none
20150126100125-762,none
20150126110156-850,transit
20150126120104-294,transit
20150127010131-864,camper
20150127030109-159,transit
20150127030110-863,camper
20150127030133-376,camper
20150127050102-625,none
20150127090118-293,none
20150127090150-668,transit
20150127110109-336,camper
20150128020107-210,transit
20150128020123-126,transit
20150128050153-539,transit
20150128070124-874,camper
20150128080123-70,ranger
20150128120128-946,transit
20150129040119-274,transit
20150129050133-736,transit
20150129060102-704,transit
20150129070111-412,transit
20150129070156-888,camper
20150129090159-131,camper
20150129120100-835,camper
20150130010110-805,transit
20150130010144-517,transit
20150130020140-998,transit
20150130030134-783,camper
20150130080133-858,transit
20150130120133-197,camper
20150131120109-93,none
20150201020251-919,camper
20150201030218-279,none
20150201030222-313,transit
20150201030223-912,transit
20150201030237-485,camper
20150201040231-215,camper
20150201040237-719,ranger
20150201060238-845,camper
20150201070216-808,camper
20150201080212-913,camper
20150201080243-358,camper
20150202030203-631,ranger
20150202040220-736,camper
20150202100259-885,none
20150202120211-959,camper
20150203060210-288,camper
20150203060230-10,camper
20150203060259-209,camper
20150203070211-66,none
20150204010234-9,camper
20150204020258-450,camper
20150204040257-657,transit
20150204070256-521,transit
20150204080211-442,none
20150204080227-619,transit
20150204100226-134,none
20150204110202-249,none
20150204120203-524,transit
20150205010257-226,camper
20150205020259-789,none
20150205030232-909,camper
20150205030244-387,transit
20150205040226-2,none
20150205040249-209,transit
20150205040259-818,ranger
20150205050206-416,transit
20150205050211-113,none
20150205050224-69,transit
20150205050251-251,camper
20150205060243-479,none
20150205070257-697,camper
20150205080233-879,transit
20150205080250-857,camper
20150205080253-978,transit
20150205110228-447,camper
20150205120211-387,transit
20150206010230-163,transit
20150206070250-791,camper
20150206080209-247,none
20150206080212-82,camper
20150206080226-163,camper
20150206090205-388,transit
20150206090210-251,transit
20150206090224-936,transit
20150206110209-450,camper
20150206110226-989,camper
20150207010252-949,transit
20150207030221-800,camper
20150207040215-112,transit
20150207040220-935,transit
20150207050247-410,camper
20150207050259-178,camper
20150207060250-229,transit
20150207070201-863,transit
20150207070236-872,none
20150207080240-722,camper
20150207090207-597,transit
20150207100218-368,camper
20150207100246-511,camper
20150207100251-836,camper
20150207110213-868,camper
20150207120223-773,none
20150208020258-125,camper
20150208050254-21,camper
20150208060247-95,camper
20150208080245-958,transit
20150208100221-140,camper
20150208120236-553,transit
20150209010259-697,camper
20150209030207-239,none
20150209030226-601,transit
20150209040222-611,transit
20150209040256-114,transit
20150209060217-820,camper
20150209060231-540,camper
20150209060231-719,camper
20150209060238-306,camper
20150209080253-791,none
20150209090220-14,transit
20150210010202-458,transit
20150210020219-563,camper
20150210060208-458,transit
20150210080230-653,transit
20150210080252-159,transit
20150210090226-728,ranger
20150210100228-734,camper
20150210110251-325,ranger
20150211020216-596,transit
20150211030246-951,camper
20150211030247-915,transit
20150211060212-247,transit
20150211080249-753,camper
20150211090217-8,transit
20150211090239-980,transit
20150211100232-929,transit
20150211110249-463,none
20150212010257-58,transit
20150212020201-712,transit
20150212020230-583,transit
20150212030241-721,camper
20150212040259-674,none
20150212060245-559,transit
20150213010207-861,transit
20150213020216-787,camper
20150213020242-370,transit
20150213050220-905,camper
20150213080245-239,none
20150213100239-978,camper
20150213100243-108,transit
20150213100244-187,camper
20150213110259-700,transit
20150213120204-866,transit
20150213120238-644,transit
20150214010242-372,transit
20150214020239-72,camper
20150214020240-113,camper
20150214040259-301,transit
20150214050243-579,transit
20150214050259-776,none
20150214060215-80,camper
20150214060220-382,transit
20150214070205-409,camper
20150214070227-209,ranger
20150214070255-757,camper
20150214110221-163,transit
20150214110230-668,camper
20150215040246-830,none
20150215060213-419,none
20150215060225-774,camper
20150215070210-159,camper
20150215080233-547,transit
20150215110234-930,camper
20150216020236-229,transit
20150216020249-396,transit
20150216030218-144,camper
20150216050250-845,transit
20150216060224-299,transit
20150216090217-343,transit
20150216120249-701,transit
20150217030209-500,camper
20150217070227-343,camper
20150217080254-664,camper
20150217100259-352,camper
20150217110211-163,transit
20150218020205-444,camper
20150218020235-744,camper
20150218020245-27,transit
20150218030208-54,transit
20150218060201-241,none
20150218080215-880,camper
20150218080228-384,transit
20150218100235-723,transit
20150218120204-473,transit
20150218120246-220,camper
20150219010247-476,transit
20150219010259-607,none
20150219040226-843,camper
20150219040245-828,transit
20150219050239-130,none
20150219060208-152,ranger
20150219060212-464,transit
20150219060243-351,camper
20150219060245-412,none
20150219070245-275,transit
20150219120223-913,camper
20150220020224-864,ranger
20150220020253-931,none
20150220040211-856,camper
20150220050217-238,transit
20150220050250-759,transit
20150220070230-806,none
20150220070255-321,transit
20150220070258-78,none
20150220080208-953,camper
20150220090207-4,transit
20150220100257-488,none
20150220110204-775,transit
20150220120207-682,none
20150221010241-26,camper
20150221010248-121,transit
20150221020226-361,none
20150221050207-983,transit
20150221060206-207,camper
20150221080230-251,transit
20150221080233-162,camper
20150221080255-974,camper
20150221090256-672,camper
20150222020245-78,camper
20150222030253-528,ranger
20150222040240-339,transit
20150222050203-651,transit
20150222080201-647,transit
20150222120224-908,none
20150222120240-889,ranger
20150223010214-102,transit
20150223010227-152,transit
20150223050200-237,camper
20150223060208-554,camper
20150223080232-126,camper
20150223080236-476,none
20150223090243-726,camper
20150223100216-408,camper
20150223110226-578,camper
20150223110259-667,camper
20150224010207-397,camper
20150224010232-820,transit
20150224010242-67,camper
20150224040209-825,transit
20150224040213-439,transit
20150224040251-670,camper
20150224060210-730,none
20150224080200-493,transit
20150224090221-347,transit
20150224100248-221,camper
20150225010255-927,ranger
20150225030241-455,transit
20150225050220-518,transit
20150225050254-301,transit
20150225120206-4,camper
20150225120233-156,transit
20150226020240-312,transit
20150226040200-707,none
20150226050215-572,none
20150226080201-708,none
20150226080250-347,none
20150226090206-282,camper
20150226090228-180,camper
20150227040216-933,ranger
20150227050213-13,camper
20150227050249-620,transit
20150227060225-629,camper
20150227070202-589,camper
20150227070212-936,camper
20150227080211-917,transit
20150227100257-879,camper
20150227110259-695,transit
20150228010235-447,camper
20150228020203-565,camper
20150228020218-410,transit
20150228040218-159,camper
20150228040220-734,transit
20150228040258-293,transit
20150228050229-132,transit
20150228060237-734,none
20150228060241-909,transit
20150228060253-886,transit
20150228060258-280,transit
20150228070255-830,transit
20150228100230-407,transit
20150228100235-385,camper
20150228110224-816,camper
20150229030257-163,transit
20150229040200-535,ranger
20150229050210-638,camper
20150229060250-368,ranger
20150229070248-397,camper
20150229070254-204,camper
20150229080229-708,none
20150229100210-587,none
20150229100219-140,transit
20150229120212-565,camper
20150229120229-56,none
20150230020208-895,ranger
20150230020229-743,transit
20150230040228-217,transit
20150230060218-649,transit
20150230070206-829,camper
20150230070214-548,none
20150230070254-178,transit
20150230090247-751,transit
20150230100237-163,camper
20150230100245-923,camper
20150230100247-423,none
20150230110228-138,transit
20150230110247-212,camper
20150231010230-879,camper
20150231010233-845,camper
20150231020234-357,transit
20150231040206-408,transit
20150231040229-915,transit
20150231050204-372,camper
20150231060233-191,camper
20150231120236-701,camper
20150301010358-741,transit
20150301040348-691,ranger
20150301040355-981,camper
20150301050357-768,camper
20150301110359-991,transit
20150302010308-139,transit
20150302010312-760,none
20150302010318-216,transit
20150302060320-142,camper
20150302120354-207,camper
20150303040325-976,camper
20150303080344-262,camper
20150303100300-303,transit
20150303100335-568,camper
20150303100343-74,ranger
20150303100354-126,camper
20150303120312-233,camper
20150304020342-804,transit
20150304020354-357,none
20150304020357-184,camper
20150304050334-811,transit
20150304060314-79,none
20150304070342-20,camper
20150304080318-31,camper
20150304080333-22,none
20150304100320-326,transit
20150304120307-360,camper
20150304120353-11,transit
20150304120355-104,transit
20150305030327-986,camper
20150305030356-98,camper
20150305040318-34,none
20150305040319-117,none
20150305060300-527,camper
20150305070304-542,transit
20150305090320-516,none
20150305100328-487,camper
20150305110318-934,camper
20150306010334-471,transit
20150306030356-503,none
20150306050305-235,camper
20150306070307-320,transit
20150306080327-887,camper
20150306110354-15,transit
20150307010338-210,camper
20150307020308-823,camper
20150307030320-55,camper
20150307040337-388,transit
20150307050341-35,camper
20150307100357-262,camper
20150307120319-340,camper
20150308060316-51,transit
20150308080350-359,camper
20150308090350-385,none
20150308110311-631,transit
20150308110346-628,camper
20150308110350-292,camper
20150309010312-403,transit
20150309010348-628,camper
20150309030327-506,camper
20150309050339-817,transit
20150309080352-837,camper
20150309100312-290,camper
20150309110339-234,transit
20150310030349-569,ranger
20150310040317-804,transit
20150310050337-557,camper
20150310060307-190,transit
20150310080358-131,none
20150310110337-570,none
20150311010308-753,camper
20150311020301-173,none
20150311040324-846,camper
20150311040359-426,camper
20150311070357-437,transit
20150311090356-344,camper
20150311100310-634,ranger
20150311110338-47,transit
20150312020332-263,camper
20150312030310-797,transit
20150312030323-538,camper
20150312050331-531,camper
20150312070334-705,camper
20150312070358-756,none
20150312090350-592,none
20150312110353-306,camper
20150312110359-70,transit
20150313020331-774,transit
20150313020340-835,none
20150313050304-212,transit
20150313070357-430,ranger
20150313080324-835,camper
20150313090335-839,camper
20150313100322-481,transit
20150313110328-797,camper
20150313120304-778,transit
20150314010330-172,transit
20150314020358-556,none
20150314050311-620,camper
20150314060301-241,camper
20150314100300-561,camper
20150314110309-545,ranger
20150315020313-770,transit
20150315030313-186,camper
20150315030315-306,transit
20150315040326-931,none
20150315040339-712,transit
20150315040346-314,camper
20150315060334-564,transit
20150315070341-687,transit
20150315070348-862,transit
20150315100304-407,transit
20150315110302-350,transit
20150315110303-677,camper
20150316010332-387,camper
20150316010333-924,ranger
20150316030322-873,none
20150316030333-652,camper
20150316060340-469,none
20150316090337-647,transit
20150316120315-424,camper
20150316120339-456,transit
20150317010343-76,camper
20150317020307-698,none
20150317050321-831,transit
20150317050329-424,none
20150317060312-681,camper
20150317070356-563,transit
20150317100334-180,transit
20150317100334-591,transit
20150318010358-404,transit
20150318020305-433,none
20150318040307-903,none
20150318040329-875,camper
20150318040333-385,transit
20150318050336-762,transit
20150318090327-261,ranger
20150319020304-688,camper
20150319030320-589,none
20150319040353-167,none
20150319060310-586,transit
20150319090314-498,camper
20150319090350-88,camper
20150319100341-343,transit
20150319120301-287,camper
20150319120359-872,transit
20150320010324-914,camper
20150320020348-641,camper
20150320030336-192,transit
20150320030349-572,camper
20150320040327-383,camper
20150320050325-256,none
20150320110357-989,transit
20150320120345-328,transit
20150321010307-127,camper
20150321010322-471,none
20150321040305-564,transit
20150321060348-225,none
20150321080317-281,camper
20150321080345-584,camper
20150321090310-782,transit
20150321100345-935,transit
20150321120327-684,transit
20150322020344-232,camper
20150322060343-331,camper
20150322080300-861,none
20150322080331-384,camper
20150322080359-496,none
20150322090352-662,camper
20150322100332-892,transit
20150322110349-365,camper
20150323010316-495,none
20150323020331-139,transit
20150323030348-749,camper
20150323040301-184,camper
20150323050310-883,camper
20150323050332-513,camper
20150323050354-727,none
20150323060306-955,none
20150323070338-324,transit
20150323090352-23,camper
20150323120317-848,none
20150324030322-373,transit
20150324060332-594,camper
20150324080316-784,camper
20150325010306-666,camper
20150325010321-329,none
20150325010332-715,transit
20150325020345-881,camper
20150325020355-94,transit
20150325030320-992,transit
20150325060300-912,camper
20150325060313-681,transit
20150325090305-573,transit
20150325090326-748,transit
20150326040316-459,camper
20150326050302-149,camper
20150326070301-296,transit
20150326080304-403,transit
20150326090318-883,camper
20150326090329-717,camper
20150326110308-543,camper
20150326110316-836,transit
20150326110322-354,camper
20150326120302-265,camper
20150326120337-794,transit
20150327030331-456,camper
20150327030347-941,camper
20150327050342-760,camper
20150327100356-183,camper
20150327120333-393,transit
20150328040327-867,transit
20150328050342-266,transit
20150328060313-318,none
20150328060314-923,camper
20150328070321-554,camper
20150328070334-74,none
20150328070355-178,transit
20150328070359-611,camper
20150328090306-30,none
20150328090330-172,camper
20150329010321-683,none
20150329010340-772,camper
20150329020331-802,camper
20150329020335-284,none
20150329030344-472,camper
20150329030356-86,camper
20150329060327-985,transit
20150329070326-185,transit
20150329080354-90,camper
20150329090301-42,transit
20150329090321-197,transit
20150329090328-682,transit
20150329090346-314,transit
20150329100312-987,transit
20150329110309-665,transit
20150329120353-101,transit
20150330010358-933,transit
20150330040351-563,none
20150330050315-215,camper
20150330060312-987,camper
20150330070352-212,none
20150330080312-693,ranger
20150330080320-3,transit
20150330090357-596,camper
20150330100336-92,transit
20150330100344-165,none
20150330100356-309,transit
20150330120309-603,transit
20150330120358-817,transit
20150331030328-660,transit
20150331040308-415,transit
20150331040348-209,transit
20150331070301-665,none
20150331070335-866,none
20150331080305-385,none
20150331090309-424,ranger
20150401060413-629,transit
20150401060447-851,transit
20150401070439-330,camper
20150401070447-6,transit
20150401080435-346,none
20150401110401-786,none
20150401110417-611,camper
20150401120409-216,transit
20150402050412-14,transit
20150402060453-735,transit
20150402100411-423,none
20150402120425-392,camper
20150403020416-490,none
20150403060423-562,none
20150403070446-252,transit
20150403100428-88,transit
20150403100431-843,transit
20150403120405-547,camper
20150403120428-179,camper
20150404010414-57,camper
20150404030444-324,transit
20150404040434-742,camper
20150404040455-117,none
20150404050454-793,camper
20150404060428-696,transit
20150404070434-936,transit
20150404090455-709,transit
20150404100414-811,transit
20150404120407-76,camper
20150404120427-5,none
20150405010405-973,camper
20150405010407-140,none
20150405010436-416,transit
20150405040445-909,camper
20150405080425-970,camper
20150405090426-651,camper
20150405100402-510,camper
20150405120404-360,camper
20150406010414-133,transit
20150406010443-576,ranger
20150406040417-783,camper
20150406060403-384,transit
20150406070417-93,transit
20150406080422-756,transit
20150406100420-954,transit
20150406100439-485,none
20150406120417-939,camper
20150406120427-726,camper
20150406120449-237,camper
20150407010435-360,transit
20150407010449-292,ranger
20150407050402-325,camper
20150407050404-905,transit
20150407080402-311,transit
20150407090456-983,camper
20150408020442-543,camper
20150408040443-205,camper
20150408060446-398,none
20150408060458-999,camper
20150408080406-657,none
20150408090423-286,camper
20150408090432-622,camper
20150408120450-64,camper
20150409020430-421,transit
20150409030409-552,none
20150409040452-282,transit
20150409050412-493,camper
20150409070446-883,camper
20150409090411-319,camper
20150409100421-849,camper
20150409100452-47,camper
20150410030412-386,none
20150410050413-811,none
20150410050429-88,none
20150410060447-348,transit
20150410080439-253,camper
20150410080447-108,transit
20150410110411-548,camper
20150411020405-25,camper
20150411020420-325,transit
20150411030436-801,transit
20150411050404-471,none
20150411050432-27,camper
20150411070401-185,transit
20150411080422-295,transit
20150411110416-472,camper
20150411110416-875,camper
20150411110428-447,none
20150411120416-183,camper
20150411120449-453,camper
20150412010421-959,camper
20150412010432-32,none
20150412020410-578,transit
20150412040445-834,transit
20150412060407-898,transit
20150412060433-809,transit
20150412070432-974,transit
20150412070442-715,camper
20150412090424-439,camper
20150412120454-71,camper
20150413010441-864,transit
20150413010454-578,none
20150413020432-24,camper
20150413030425-582,transit
20150413050412-329,camper
20150413050443-129,camper
20150413080423-537,camper
20150413100433-129,none
20150413100443-728,camper
20150413110402-150,camper
20150413120415-597,transit
20150414030411-239,none
20150414050436-933,camper
20150414060406-461,camper
20150414070450-156,transit
20150414070459-536,camper
20150414110443-27,transit
20150414120431-742,none
20150415010456-94,transit
20150415020401-312,transit
20150415020406-610,camper
20150415030438-398,transit
20150415030456-512,transit
20150415070401-918,camper
20150415080437-148,transit
20150415080451-47,transit
20150415090454-392,camper
20150415100416-794,transit
20150415110400-588,transit
20150415110415-762,camper
20150416030444-791,camper
20150416040441-902,transit
20150416040445-103,camper
20150416110405-287,none
20150416110451-163,transit
20150417010429-819,transit
20150417010430-97,camper
20150417020429-813,none
20150417060422-422,none
20150417070431-372,camper
20150417100406-907,camper
20150417110423-983,transit
20150417110455-279,none
20150418010427-449,transit
20150418010436-994,transit
20150418030419-69,camper
20150418040454-388,camper
20150418050406-878,none
20150418070414-573,camper
20150418080448-539,transit
20150418120408-87,camper
20150418120456-58,none
20150419010438-909,transit
20150419020408-913,transit
20150419040419-734,camper
20150419050423-187,camper
20150419060418-689,camper
20150419070416-758,transit
20150419070451-672,ranger
20150419080401-283,transit
20150419080402-813,transit
20150419080423-232,camper
20150419080453-269,camper
20150419090434-489,camper
20150419110400-987,camper
20150419110442-824,camper
20150419110458-665,none
20150419120407-235,camper
20150419120451-709,transit
20150420010418-650,camper
20150420010441-514,transit
20150420070433-947,camper
20150420080400-256,camper
20150420090410-374,camper
20150420090412-587,transit
20150420090434-499,camper
20150420100412-238,camper
20150420100416-232,camper
20150420110453-920,ranger
20150420110457-500,camper
20150420120432-763,camper
20150421010447-348,transit
20150421010452-980,ranger
20150421020414-228,transit
20150421050436-46,transit
20150421060449-866,camper
20150421090407-354,camper
20150421090419-711,transit
20150421110433-330,transit
20150422010448-761,camper
20150422030453-632,transit
20150422040421-938,camper
20150422050455-713,transit
20150422080420-314,camper
20150422120425-418,transit
20150423010420-731,none
20150423020418-599,camper
20150423040436-953,camper
20150423050415-924,camper
20150423070439-456,transit
20150423120438-44,transit
20150424020445-861,camper
20150424030442-413,none
20150424080446-635,transit
20150424110417-813,transit
20150425010441-992,transit
20150425010453-132,none
20150425010456-10,camper
20150425010459-670,camper
20150425040422-897,none
20150425050434-33,camper
20150425060412-481,camper
20150425060421-321,transit
20150425100459-884,transit
20150425120425-24,none
20150425120457-276,none
20150426010442-203,camper
20150426010444-611,camper
20150426070452-144,camper
20150426100413-9,camper
20150426100437-616,transit
20150426110459-600,none
20150426120423-659,camper
20150427020405-588,transit
20150427020450-544,camper
20150427050456-122,camper
20150427060448-246,camper
20150427070435-716,transit
20150427120413-435,none
20150428020445-289,transit
20150428030425-959,camper
20150428040403-807,none
20150428070409-96,transit
20150428080425-76,transit
20150428100455-337,transit
20150428120447-819,none
20150429010400-59,camper
20150429020421-767,transit
20150429040409-724,transit
20150429040424-153,none
20150429050401-796,camper
20150429050432-698,none
20150429060402-397,none
20150429070447-330,transit
20150429080442-199,camper
